visa_type,continent,age,education_level,occupation_category,income_level_usd,has_strong_home_ties,prior_visa_violations,prior_us_travel,documentation_quality,social_media_flag,criminal_background,admin_processing_delay,country_of_origin,approval_status,gender,marital_status,number_of_dependents
TN,South America,17,High School,Professor,53396.59291835619,No,No,Multiple,High,Clean,No,No,Colombia,1,Female,Married,3
J-1,South America,7,High School,Professor,49735.32638308327,Yes,No,Once,High,Clean,No,No,Argentina,1,Male,Single,0
L-1,Africa,31,PhD,Businessperson,16274.357035694753,Yes,No,Never,High,Clean,No,No,South Africa,1,Male,Single,3
TN,Europe,3,Master,Student,54155.60639664187,Yes,Yes,Never,Low,Clean,No,No,Germany,1,Male,Married,2
F-1,Europe,42,High School,Scientist,52586.06787460485,Yes,No,Multiple,High,Clean,No,No,Russia,1,Female,Single,2
L-1,South America,47,Bachelor,Businessperson,33172.76920990775,Yes,No,Multiple,High,Clean,No,No,Argentina,1,Female,Married,1
L-1,Africa,52,Bachelor,Student,56477.385478786295,Yes,No,Never,High,Clean,No,No,Nigeria,1,Female,Single,1
TN,South America,55,High School,Technician,13695.582008691192,Yes,No,Once,High,Clean,No,No,Brazil,1,Female,Single,0
B-2,North America,75,High School,Scientist,47515.383449194676,Yes,No,Multiple,High,Clean,No,No,Mexico,1,Female,Married,5
F-1,North America,12,Bachelor,Scientist,38148.38271250245,Yes,No,Once,High,Clean,No,No,Mexico,1,Female,Divorced,0
TN,Africa,64,High School,Technician,32163.246835260572,Yes,Yes,Multiple,Medium,Clean,No,No,South Africa,0,Female,Single,1
F-1,North America,50,High School,Athlete,26159.007526402638,Yes,No,Multiple,Medium,Clean,No,No,Guatemala,1,Male,Married,3
F-1,Asia,46,PhD,Scientist,41596.7602520644,Yes,No,Once,High,Clean,No,No,China,1,Male,Married,0
L-1,Asia,17,Bachelor,Scientist,40215.69354639743,No,No,Multiple,High,Clean,No,No,Philippines,1,Female,Married,0
J-1,Asia,52,High School,Professor,32666.098450121826,Yes,No,Never,High,Clean,No,No,China,1,Male,Divorced,0
F-1,North America,50,None,Student,51306.67891178455,Yes,No,Never,High,Clean,No,No,Guatemala,1,Male,Married,1
O-1,Europe,37,Bachelor,Athlete,46188.13480244426,Yes,No,Once,Low,Clean,No,Yes,Russia,1,Male,Single,0
L-1,Asia,17,Master,Professor,14394.711100804483,No,No,Once,High,Clean,No,No,India,1,Female,Single,0
B-2,South America,58,High School,Businessperson,62075.00155946784,Yes,No,Never,High,Negative Content,No,No,Argentina,1,Male,Married,0
J-1,Europe,72,PhD,Technician,12976.727518848413,Yes,No,Multiple,High,Clean,No,No,France,1,Male,Married,1
O-1,Africa,64,Master,Scientist,33027.905426330515,Yes,No,Once,High,Clean,No,No,Ghana,1,Female,Married,4
O-1,North America,67,Bachelor,Student,0.0,Yes,No,Multiple,High,Clean,No,No,Mexico,1,Male,Married,0
